service_date,department,payer_type,claims_submitted,claims_denied,claims_approved,gross_revenue,expected_reimbursement,payments_collected,patient_payments,ar_balance,days_in_ar,write_offs,adjustments
2023-10-02,Urology,Medicaid,2755,63,2692,1772614,1480252,1220714,419568,2793478,172,69083,57471
2023-10-03,Orthopedics,Commercial,560,53,507,1558340,1426699,1343224,493341,2658902,160,20016,37182
2023-10-04,Orthopedics,Commercial,2264,216,2048,2191665,1804878,1587361,133589,2820382,124,57900,24745
2023-10-05,Urology,Medicare,2649,369,2280,973590,876271,811360,172966,297094,5,179961,84267
2023-10-06,Orthopedics,Employer Plan,2995,150,2845,1252451,1108722,989866,91271,170693,94,165168,83711
2023-10-07,Radiology,Commercial,2978,76,2902,3052716,2492215,1911761,28672,247530,83,56363,58456
2023-10-08,Urology,Medicaid,3322,474,2848,3040804,2478668,1894723,90467,2653321,93,60975,20893
2023-10-09,Orthopedics,Medicare,1855,172,1683,995330,861585,772464,230490,1512772,21,183648,38518
2023-10-10,Cardiology,Medicare,3958,132,3826,4742493,4148768,3381059,296115,1315095,126,30245,82491
2023-10-11,Urology,Medicaid,905,56,849,4763609,4322847,4252864,456498,2563204,63,100613,64908
2023-10-12,Orthopedics,Medicare,1096,77,1019,4323584,3988215,3137236,197025,2595365,177,162201,14238
2023-10-13,Radiology,Medicare,3856,462,3394,4780831,3944296,3084363,147671,227030,142,34762,45525
2023-10-14,Radiology,Employer Plan,3975,216,3759,1586501,1330247,1265416,46416,1923698,104,63954,62698
2023-10-15,Urology,Self-Pay,2102,301,1801,3914140,3637645,2932658,349127,2808704,46,156977,63747
2023-10-16,Pulmonology,Medicare,1998,188,1810,1774990,1492354,1150918,226021,1559559,154,79840,38326
2023-10-17,Neurology,Medicaid,1372,44,1328,3786854,3350270,3099711,130476,1989028,16,120007,32191
2023-10-18,Pulmonology,Employer Plan,916,78,838,2379370,2156075,1674670,130123,2782352,159,107001,11982
2023-10-19,Cardiology,Self-Pay,3107,297,2810,4447329,3842842,3170307,335001,448384,88,2690,57253
2023-10-20,Orthopedics,Employer Plan,858,124,734,2820949,2380533,2087128,31867,1276313,156,114757,54359
2023-10-21,Pulmonology,Employer Plan,3356,465,2891,2473935,2382734,2090319,82085,2217881,57,79725,12712
2023-10-22,Oncology,Medicare,1646,234,1412,906973,836970,702663,138055,1510828,52,146691,19968
2023-10-23,Emergency,Medicaid,3196,332,2864,335019,269775,254608,25483,132077,172,81668,73973
2023-10-24,Orthopedics,Employer Plan,1187,122,1065,1930079,1851423,1416274,448764,2440630,139,72962,6540
2023-10-25,Neurology,Medicare,3033,330,2703,3504805,3048683,2401259,301113,1360524,130,11261,69100
2023-10-26,Orthopedics,Medicaid,714,18,696,1503859,1252566,1220296,169710,1898279,173,96494,61665
2023-10-27,Urology,Employer Plan,681,37,644,2688568,2232073,1858848,209276,1398406,27,154291,89276
2023-10-28,Neurology,Medicaid,2058,109,1949,4902663,4744788,3661793,157810,556485,44,46118,30160
2023-10-29,Neurology,Employer Plan,2740,333,2407,1828437,1637027,1606355,326691,423851,156,161835,18470
2023-10-30,Radiology,Self-Pay,2184,92,2092,463240,383948,307291,167075,784233,177,98009,58476
2023-10-31,Emergency,Self-Pay,1939,226,1713,2204359,1907724,1812222,87730,2059981,134,137308,39925
2023-11-01,Pulmonology,Commercial,2912,216,2696,3659879,3435225,3377558,241438,1950272,53,135784,81456
2023-11-02,Pulmonology,Employer Plan,3213,177,3036,567801,527424,507756,318674,588096,154,123538,38923
2023-11-03,Oncology,Commercial,2580,354,2226,2491914,2076259,1741470,178310,2712718,151,18473,60072
2023-11-04,Cardiology,Medicaid,1711,101,1610,1070895,906201,754322,168857,2636796,75,86902,58054
2023-11-05,Pulmonology,Medicare,1404,169,1235,3697097,3154873,2883924,139653,2279677,87,150675,4837
2023-11-06,Pulmonology,Medicare,1604,190,1414,3504462,3169876,2543248,377625,154676,15,18813,46736
2023-11-07,Urology,Employer Plan,1081,74,1007,4219401,3403190,3123839,149814,194513,91,131468,73806
2023-11-08,Oncology,Self-Pay,3489,217,3272,1713932,1622206,1441017,118428,1908351,127,32282,45800
2023-11-09,Urology,Medicare,506,10,496,349704,321643,295694,450782,1877961,81,164155,46840
2023-11-10,Oncology,Commercial,3699,296,3403,564371,522220,433661,41316,1626250,35,163914,80717
2023-11-11,Urology,Commercial,1530,65,1465,1221652,1101844,905359,29327,853610,115,196872,18347
2023-11-12,Pulmonology,Medicare,2156,46,2110,333320,266999,222349,258031,2370641,81,116225,39977
2023-11-13,Oncology,Medicaid,2540,254,2286,4839706,4423890,3572315,48461,125862,45,115270,50240
2023-11-14,Radiology,Medicaid,3288,119,3169,3420419,3111307,3040262,31603,816408,31,16201,32825
2023-11-15,Urology,Medicare,2488,148,2340,1081272,1000901,879160,300836,116857,139,85228,53337
2023-11-16,Emergency,Employer Plan,3732,421,3311,3588438,3463032,2960005,489736,303358,4,87923,37599
2023-11-17,Radiology,Self-Pay,2661,310,2351,3132707,2516966,2432828,128228,2516312,14,164609,94130
2023-11-18,Oncology,Medicaid,1661,238,1423,2940397,2580961,2045310,73154,1148265,115,162242,13092
2023-11-19,Orthopedics,Medicare,3268,451,2817,957115,850825,724475,356869,1497621,86,54140,58271
2023-11-20,Oncology,Medicaid,2319,201,2118,1218726,980202,758738,284892,73932,138,117507,69731
2023-11-21,Neurology,Medicaid,1186,169,1017,4186227,3581178,3096490,418279,1766371,83,175204,36586
2023-11-22,Cardiology,Commercial,1032,66,966,1445006,1290833,1197098,448730,2474175,20,123357,92014
2023-11-23,Oncology,Employer Plan,2289,209,2080,3205794,2567850,2335470,449493,1146809,108,43654,93574
2023-11-24,Emergency,Self-Pay,2914,264,2650,2015903,1701550,1295578,287323,302006,48,115390,41783
2023-11-25,Pulmonology,Commercial,2731,62,2669,3832444,3112587,2534578,110576,419086,33,142568,28313
2023-11-26,Emergency,Medicare,787,19,768,739650,705828,605609,461593,751765,57,36288,69646
2023-11-27,Pulmonology,Medicaid,3731,190,3541,4691858,4192485,4051982,450560,1731254,106,125407,77806
2023-11-28,Radiology,Commercial,2918,411,2507,2244837,2083097,1716225,363470,1920184,3,169745,39259
2023-11-29,Radiology,Medicare,2199,302,1897,3276700,3023019,2820725,262927,820794,141,88968,69984
2023-11-30,Orthopedics,Medicare,1938,199,1739,2038718,1846467,1627920,371447,842546,62,186491,75902
2023-12-01,Radiology,Employer Plan,2361,67,2294,4259229,3888333,3574822,312663,1161546,119,89476,78898
2023-12-02,Cardiology,Medicare,1321,189,1132,1766456,1705728,1285069,57966,574965,82,47768,92074
2023-12-03,Cardiology,Commercial,3848,110,3738,704234,581372,493759,30330,1598868,138,158938,71279
2023-12-04,Orthopedics,Employer Plan,534,45,489,868940,834430,789553,40076,440402,99,166068,65630
2023-12-05,Neurology,Employer Plan,2241,225,2016,2599250,2162340,1996474,240888,428449,43,107720,68728
2023-12-06,Cardiology,Medicare,522,58,464,677753,570556,513860,203065,649710,3,168332,52383
2023-12-07,Emergency,Commercial,1777,249,1528,3076223,2561582,2148763,79286,1395771,79,104152,14927
2023-12-08,Pulmonology,Self-Pay,2289,148,2141,4667479,4010219,3549726,356478,2810485,115,186941,81640
2023-12-09,Cardiology,Employer Plan,2897,198,2699,822191,674312,506273,232417,2225761,88,198988,19826
2023-12-10,Urology,Commercial,829,75,754,1973036,1627953,1330129,131716,2920391,25,57180,74771
2023-12-11,Pulmonology,Commercial,3384,177,3207,1384793,1334696,1009517,211948,1984430,30,181780,17962
2023-12-12,Orthopedics,Self-Pay,1906,173,1733,4402914,3788002,3330196,412918,931419,5,57455,44265
2023-12-13,Neurology,Commercial,1262,82,1180,4255468,3982448,3259922,67685,2368739,131,168466,1684
2023-12-14,Neurology,Medicaid,2973,418,2555,4925733,4095386,3732522,175522,2076335,54,60647,42914
2023-12-15,Neurology,Commercial,2234,134,2100,4455582,4063438,4006746,335736,836616,65,85865,21479
2023-12-16,Neurology,Medicaid,889,91,798,1226958,1064619,987448,424240,1149887,149,91048,20251
2023-12-17,Urology,Medicare,3771,264,3507,1926223,1546775,1512627,360441,1341602,128,135546,90550
2023-12-18,Neurology,Medicare,717,106,611,4430197,3881605,3618674,403299,745155,14,103890,20041
2023-12-19,Urology,Employer Plan,1006,136,870,3466964,3094870,3035482,264227,1357357,179,17130,54874
2023-12-20,Pulmonology,Medicare,2373,145,2228,4917740,4575676,4126505,287848,291256,60,78411,14594
2023-12-21,Urology,Self-Pay,2007,41,1966,1246175,1129272,916427,389223,1452664,141,16897,74965
2023-12-22,Emergency,Employer Plan,3469,202,3267,1014688,858581,713441,65937,2566683,104,194022,70836
2023-12-23,Oncology,Commercial,3927,330,3597,3243298,2726210,2050683,150517,2759610,38,151540,33215
2023-12-24,Emergency,Medicaid,1975,125,1850,2239664,2047944,1877873,402026,2432206,110,78545,20854
2023-12-25,Urology,Medicare,3241,342,2899,2225815,1909974,1662960,394340,1384989,176,125710,90366
2023-12-26,Cardiology,Employer Plan,1344,84,1260,1258417,1165466,957536,110490,160693,126,157049,88629
2023-12-27,Pulmonology,Self-Pay,1450,90,1360,3412809,2968872,2690120,412002,2797770,177,20005,61084
2023-12-28,Radiology,Medicaid,1419,193,1226,692851,630539,536143,228674,2271790,71,164646,15763
2023-12-29,Oncology,Employer Plan,1898,109,1789,2048213,1913414,1848411,432946,774438,124,173016,95281
2023-12-30,Urology,Commercial,1362,132,1230,4317705,3504001,2943090,124815,1765301,22,54099,45653
2023-12-31,Pulmonology,Medicaid,1650,144,1506,2322032,2060158,1561439,73710,2306683,122,38950,60967
2024-01-01,Emergency,Commercial,713,38,675,4783703,4041012,3250974,398984,1095017,35,40580,20820
2024-01-02,Neurology,Medicaid,1947,76,1871,3971751,3757631,3210068,179838,1733412,33,84334,39273
2024-01-03,Radiology,Medicaid,3013,199,2814,4829445,4116667,3279459,270967,658724,20,7406,53089
2024-01-04,Oncology,Commercial,1203,73,1130,1450828,1351224,1184423,175267,1850215,88,102594,1994
2024-01-05,Radiology,Medicaid,2453,163,2290,2369172,2273887,2079520,145930,2749259,86,111327,45260
2024-01-06,Cardiology,Medicare,1994,250,1744,4880112,4094913,3764399,312763,2320625,76,415,32957
2024-01-07,Urology,Commercial,1562,139,1423,2294792,1902391,1449929,214586,2546063,57,43625,39238
2024-01-08,Oncology,Employer Plan,2008,294,1714,2243567,2169606,2078691,174589,1922042,29,102332,28355
2024-01-09,Oncology,Commercial,2669,158,2511,682143,622917,592342,330567,161924,59,163565,95594
2024-01-10,Urology,Self-Pay,738,38,700,1159790,962069,940287,124050,800297,143,128197,43256
2024-01-11,Orthopedics,Self-Pay,1268,32,1236,2444594,2084875,1754937,70342,1551082,5,43798,25166
2024-01-12,Urology,Medicaid,878,116,762,2918190,2538117,2177306,357428,1278431,34,46133,99460
2024-01-13,Neurology,Medicare,3293,270,3023,2524604,2354690,1831826,495485,925472,65,105910,48588
2024-01-14,Emergency,Self-Pay,2055,120,1935,4867806,4281406,3503646,59182,2027603,90,32455,65369
2024-01-15,Urology,Medicaid,1122,26,1096,1175889,1105734,974798,260397,2097663,102,134672,11228
2024-01-16,Oncology,Commercial,3212,324,2888,1301769,1208165,990587,126745,507251,137,61839,13427
2024-01-17,Emergency,Self-Pay,3705,217,3488,1661656,1372349,1282268,114298,2266573,89,167331,15473
2024-01-18,Urology,Medicare,1639,171,1468,3931541,3470205,2764869,440565,2648014,48,171447,70586
2024-01-19,Neurology,Medicaid,3665,126,3539,3566547,3187300,2853471,163578,876338,165,34997,76666
2024-01-20,Orthopedics,Commercial,2492,217,2275,1325243,1192948,937649,149988,1320055,21,170885,52742
2024-01-21,Urology,Medicaid,3179,120,3059,4490878,4206471,3582100,422588,1995998,178,103302,16550
2024-01-22,Radiology,Medicare,2531,265,2266,2209517,1803560,1753745,184241,134274,168,95095,44628
2024-01-23,Emergency,Medicaid,3013,348,2665,3651808,3367311,2708333,97287,295680,8,71865,88720
2024-01-24,Cardiology,Commercial,2267,281,1986,885434,772067,763491,272024,1546524,156,17096,65367
2024-01-25,Orthopedics,Employer Plan,3223,396,2827,3388444,3214003,2430292,260904,730455,2,99844,9443
2024-01-26,Radiology,Medicare,2361,316,2045,633232,592926,498389,267273,2764086,157,82499,71310
2024-01-27,Oncology,Medicare,2527,333,2194,3210494,2587637,2332599,235706,2399880,100,108880,48624
2024-01-28,Cardiology,Employer Plan,1177,147,1030,3489038,3113851,2344912,338392,2762520,88,88234,97533
2024-01-29,Emergency,Medicaid,1588,83,1505,1367153,1283424,1180608,74990,527162,137,48668,12877
2024-01-30,Neurology,Commercial,582,77,505,3760557,3023673,2574724,149110,1027780,54,126609,58825
2024-01-31,Orthopedics,Self-Pay,2841,236,2605,4631723,4302780,3892245,169010,2077091,102,195245,53523
2024-02-01,Urology,Medicaid,3855,144,3711,2412980,2336420,2263845,115878,243186,54,118955,43004
2024-02-02,Neurology,Self-Pay,2466,308,2158,3375509,2747735,2344053,238386,2441101,123,36882,11548
2024-02-03,Pulmonology,Employer Plan,2492,312,2180,3470727,3133808,2852374,461285,1965220,155,149966,1259
2024-02-04,Neurology,Medicare,1570,120,1450,1904387,1531367,1444745,59367,1248158,92,140664,8756
2024-02-05,Emergency,Medicare,2802,315,2487,3559601,3338652,2556980,38167,1575829,96,64975,3255
2024-02-06,Pulmonology,Commercial,2045,69,1976,2015024,1785006,1346580,181467,51627,156,109919,33466
2024-02-07,Urology,Medicaid,1867,66,1801,4388525,3743664,2973094,131306,747811,38,186926,38308
2024-02-08,Radiology,Employer Plan,3704,265,3439,4747737,4002698,3106093,151132,1553740,74,45061,24666
2024-02-09,Emergency,Commercial,1408,71,1337,1130748,1094650,971421,232840,1844365,37,163728,58232
2024-02-10,Radiology,Employer Plan,841,111,730,872281,814670,716733,239876,1850110,35,106255,67675
2024-02-11,Pulmonology,Commercial,1045,138,907,2627087,2171235,2137024,240310,1731701,176,163952,27780
2024-02-12,Oncology,Medicaid,2444,93,2351,4989927,4081221,3171151,219615,1847313,121,67338,65727
2024-02-13,Pulmonology,Self-Pay,1162,70,1092,1960009,1849618,1395183,375556,179232,81,128999,68807
2024-02-14,Urology,Medicaid,732,57,675,835728,722239,561237,34497,98455,168,137309,53482
2024-02-15,Cardiology,Commercial,840,30,810,4495584,3627161,2778946,195860,2770597,10,165216,14518
2024-02-16,Orthopedics,Self-Pay,3318,117,3201,3513838,3125005,2827766,19969,2512389,139,105124,60879
2024-02-17,Pulmonology,Commercial,2299,187,2112,337223,302770,227736,457685,980019,171,125540,43113
2024-02-18,Cardiology,Self-Pay,2209,218,1991,2676174,2341034,1844219,437974,955204,62,100967,15773
2024-02-19,Urology,Commercial,3813,159,3654,4438977,4125480,3566950,473484,1214957,151,110574,32211
2024-02-20,Urology,Employer Plan,3505,139,3366,4402980,3574577,2899720,184974,2097199,97,63580,80010
2024-02-21,Pulmonology,Commercial,3366,373,2993,2703266,2399572,1916296,77232,626785,21,10173,92730
2024-02-22,Orthopedics,Commercial,1754,244,1510,1743181,1690578,1464725,356885,2636859,176,175443,9384
2024-02-23,Orthopedics,Medicare,1289,25,1264,4437806,3732225,3132803,376019,2485565,117,130688,80190
2024-02-24,Radiology,Commercial,2336,279,2057,2754342,2299655,2193399,271999,519220,49,43820,95474
2024-02-25,Radiology,Self-Pay,2750,58,2692,3671096,3426737,2643531,308000,1712106,135,187334,51355
2024-02-26,Oncology,Medicaid,2186,311,1875,4392093,3931902,2984583,271224,2966485,71,118964,1466
2024-02-27,Pulmonology,Employer Plan,2980,194,2786,3151343,2806197,2761928,40442,405125,18,152752,97339
2024-02-28,Pulmonology,Medicaid,2883,346,2537,1979714,1905909,1457367,233961,602363,176,135291,13849
2024-02-29,Pulmonology,Medicaid,1255,110,1145,3722967,3436663,2954912,312998,1516943,169,71837,32012
2024-03-01,Cardiology,Commercial,1190,80,1110,4563806,4119220,3812688,233254,1894891,36,188911,86663
2024-03-02,Radiology,Employer Plan,1039,72,967,3760194,3035621,2668572,178109,1380705,22,133337,10401
2024-03-03,Emergency,Commercial,2390,260,2130,4956203,4654941,3534286,35085,1658894,29,99599,93929
2024-03-04,Cardiology,Medicare,1373,185,1188,2853500,2303360,2249954,60277,633487,163,161911,1972
2024-03-05,Pulmonology,Medicare,3856,482,3374,1961015,1862992,1655729,171475,708887,48,174866,32359
2024-03-06,Emergency,Commercial,2478,160,2318,1640012,1438968,1115553,297725,1485740,94,10937,62677
2024-03-07,Cardiology,Self-Pay,2283,271,2012,2184722,2001736,1668785,293396,271999,60,158878,37559
2024-03-08,Emergency,Employer Plan,1369,57,1312,3167323,2808756,2382665,244724,2533021,23,90928,40110
2024-03-09,Pulmonology,Employer Plan,3257,65,3192,2741345,2641171,2144626,114347,647905,99,116579,74299
2024-03-10,Urology,Self-Pay,2768,303,2465,1388279,1139666,860454,123481,884393,151,104338,42375
2024-03-11,Neurology,Medicaid,996,30,966,2321331,1928465,1804377,221011,1780461,119,79893,7148
2024-03-12,Pulmonology,Medicaid,2447,177,2270,1532706,1367001,1065868,30338,1765827,58,161727,79719
2024-03-13,Urology,Medicare,3517,444,3073,2186642,1782030,1538624,358628,809426,9,146240,22030
2024-03-14,Orthopedics,Commercial,930,65,865,2366528,2165886,1927952,29245,452683,26,189736,67349
2024-03-15,Emergency,Commercial,2039,54,1985,694930,581790,449570,220273,1691311,171,148730,62410
2024-03-16,Oncology,Medicare,2165,48,2117,3476487,3344832,2793920,429497,2672957,145,152352,2394
2024-03-17,Neurology,Employer Plan,865,119,746,4859887,4340604,3828753,364354,162995,45,36705,6134
2024-03-18,Pulmonology,Medicare,3635,459,3176,711543,584484,526034,382691,2752370,81,19640,11239
2024-03-19,Oncology,Commercial,2832,297,2535,4398354,4032038,3089747,286123,106328,130,197439,91423
2024-03-20,Pulmonology,Medicaid,2380,50,2330,3846753,3674969,2776114,389166,1458585,132,90776,34549
2024-03-21,Orthopedics,Commercial,3666,437,3229,3313402,2868760,2180719,473081,1124196,107,61287,75116
2024-03-22,Cardiology,Medicaid,1442,109,1333,4022084,3379842,3005262,15084,2865473,16,8182,33305
2024-03-23,Neurology,Employer Plan,3558,109,3449,1841174,1493975,1272132,109031,821356,109,8981,44911
2024-03-24,Radiology,Commercial,3809,450,3359,446599,365011,329209,107981,1758953,153,145460,32029
2024-03-25,Pulmonology,Medicare,3074,338,2736,4869288,4020804,3318520,143632,134173,156,127764,89979
2024-03-26,Radiology,Employer Plan,2713,129,2584,415434,388298,320500,417103,900149,101,149183,32265
2024-03-27,Cardiology,Employer Plan,1364,84,1280,2905676,2329268,2164609,386293,1878797,21,41770,88934
2024-03-28,Radiology,Employer Plan,3813,553,3260,2790043,2296962,1745904,321609,1567775,107,51696,19634
2024-03-29,Neurology,Commercial,2212,77,2135,4020777,3596632,3129650,25597,2331000,171,71977,42975
2024-03-30,Radiology,Commercial,699,88,611,2552694,2363804,2019123,40001,723864,110,17814,62992
2024-03-31,Emergency,Self-Pay,3099,324,2775,1756351,1554963,1236176,353132,1959715,96,59502,73710
2024-04-01,Pulmonology,Medicaid,2435,119,2316,3583102,3038099,2514752,286656,2797978,16,69472,40220
2024-04-02,Cardiology,Commercial,1625,152,1473,4852877,4344461,4222660,192820,2745801,160,179934,61424
2024-04-03,Emergency,Medicaid,863,81,782,4303432,3487722,2722011,264996,2915062,71,154827,10043
2024-04-04,Emergency,Commercial,1301,33,1268,951244,816419,692115,155755,849380,153,170535,48188
2024-04-05,Oncology,Commercial,1394,152,1242,4779268,4286402,3991811,385389,1229416,28,88860,1453
2024-04-06,Pulmonology,Medicare,2169,57,2112,2668607,2518225,1919788,76614,1689329,87,170329,13724
2024-04-07,Neurology,Commercial,3930,365,3565,371018,301741,242170,96364,1849356,162,195028,16759
2024-04-08,Neurology,Commercial,3035,77,2958,4513044,3901438,3550508,93084,2658133,98,145512,76642
2024-04-09,Radiology,Medicare,2276,278,1998,392186,325111,316766,83637,2864708,36,145414,70219
2024-04-10,Emergency,Self-Pay,1125,164,961,4978885,4631026,4301146,189455,565182,107,115054,97999
2024-04-11,Oncology,Commercial,1672,48,1624,335938,302654,262182,144140,1799138,121,124765,88674
2024-04-12,Emergency,Medicare,2902,389,2513,3928026,3164209,2482762,337195,895027,12,103262,37849
2024-04-13,Emergency,Medicaid,3810,464,3346,3335318,3212143,2763476,14880,2478763,159,182775,89010
2024-04-14,Orthopedics,Commercial,2448,179,2269,2069676,1774880,1696157,424209,2657795,63,41412,72751
2024-04-15,Radiology,Medicaid,1013,43,970,2348770,2138463,1995365,228834,1459353,91,190259,76126
2024-04-16,Urology,Medicaid,2388,278,2110,4934900,4534300,4126486,368340,527297,54,7528,13760
2024-04-17,Cardiology,Self-Pay,2829,326,2503,1290485,1040452,940561,289122,2446435,113,50396,59800
2024-04-18,Emergency,Commercial,2335,248,2087,2653206,2471084,1916566,232887,650335,17,36711,33177
2024-04-19,Orthopedics,Medicaid,517,31,486,1129056,1070588,953232,169132,2612733,71,14712,83456
2024-04-20,Oncology,Self-Pay,3925,310,3615,4647934,4458052,3677893,302239,388718,134,17005,71394
2024-04-21,Urology,Medicaid,3601,77,3524,2392382,2072030,1876312,221144,1752395,157,116620,43139
2024-04-22,Radiology,Medicare,3167,202,2965,1214754,1038980,916792,267442,1871172,58,82142,11926
2024-04-23,Urology,Employer Plan,522,43,479,317529,259799,251100,408431,1955401,165,121259,16417
2024-04-24,Oncology,Employer Plan,3619,193,3426,551587,500565,483204,31175,718918,94,173140,43818
2024-04-25,Cardiology,Self-Pay,938,87,851,2273717,2116641,2051615,58292,2106955,113,162106,90401
2024-04-26,Neurology,Self-Pay,711,38,673,336452,297915,246230,69921,1851431,158,9944,70899
2024-04-27,Neurology,Self-Pay,1005,104,901,1735313,1507282,1395926,253920,1469463,64,188143,79916
2024-04-28,Oncology,Medicaid,522,49,473,2484407,2267273,1803203,418272,1049650,60,167975,57570
2024-04-29,Emergency,Self-Pay,3099,410,2689,1645211,1428054,1350208,265670,1553377,67,62708,50234
2024-04-30,Neurology,Commercial,3123,141,2982,1253219,1058252,951943,413433,366879,100,178217,71397
2024-05-01,Neurology,Medicare,571,67,504,1252530,1204074,1046378,267878,2406069,60,66212,84014
2024-05-02,Emergency,Medicare,3969,530,3439,713827,619174,539438,82298,558530,66,195168,91285
2024-05-03,Pulmonology,Employer Plan,3951,100,3851,1774487,1682940,1586948,119780,569140,52,74217,31254
2024-05-04,Urology,Employer Plan,970,72,898,3090029,2640197,2149580,172069,2210528,21,89048,50317
2024-05-05,Oncology,Medicaid,1377,89,1288,2572290,2412158,2280492,191913,1511760,102,18218,2896
2024-05-06,Oncology,Employer Plan,3649,83,3566,4697841,4262823,3537762,28975,1373196,175,28408,28038
2024-05-07,Urology,Employer Plan,1525,183,1342,4817875,4567952,3990100,483898,92591,7,352,2371
2024-05-08,Urology,Medicare,1901,255,1646,1160006,982322,833205,10095,2124124,149,75792,13694
2024-05-09,Cardiology,Employer Plan,503,60,443,4656707,4210395,3276996,174871,2317617,51,180324,64015
2024-05-10,Emergency,Commercial,3275,374,2901,3708704,3040381,2422649,371187,228218,112,164925,5309
2024-05-11,Emergency,Medicare,2790,184,2606,3333145,3040961,2989890,426589,293993,130,174214,38469
2024-05-12,Neurology,Commercial,2391,123,2268,3000210,2788336,2300183,178629,467732,28,186685,52421
2024-05-13,Neurology,Medicaid,1788,151,1637,4162819,4002635,3330327,424606,2835991,113,106301,1802
2024-05-14,Neurology,Medicare,3075,101,2974,1717841,1445148,1141932,380632,2415589,99,104965,70123
2024-05-15,Emergency,Medicare,2707,279,2428,581127,476262,464916,76258,769680,39,3830,65484
2024-05-16,Urology,Commercial,2574,255,2319,2251846,1841597,1609319,348268,1509538,53,62916,53906
2024-05-17,Pulmonology,Commercial,3586,492,3094,4761431,4016977,3609410,277453,177761,159,182115,4086
2024-05-18,Radiology,Medicare,2532,348,2184,2547694,2459831,2011635,248205,1239045,153,137624,81029
2024-05-19,Orthopedics,Employer Plan,823,119,704,1071344,973095,744121,499110,289308,156,51880,8534
2024-05-20,Cardiology,Employer Plan,2775,80,2695,4740766,4057949,3859789,198996,826918,11,68167,23452
2024-05-21,Urology,Self-Pay,2316,264,2052,2449319,2009801,1932444,288295,2323931,70,140536,23181
2024-05-22,Emergency,Employer Plan,3586,217,3369,4031395,3781250,3283095,125791,2297101,2,84146,20909
2024-05-23,Emergency,Medicaid,2559,294,2265,2871047,2559074,2477646,234297,2632058,178,25404,45122
2024-05-24,Neurology,Medicare,570,52,518,1509951,1416683,1374503,137868,2356886,160,176285,4674
2024-05-25,Neurology,Commercial,1239,182,1057,1149583,991287,962942,213492,2227627,50,120159,81250
2024-05-26,Urology,Medicaid,1931,157,1774,3069598,2621324,2026838,274832,1625462,142,86059,35847
2024-05-27,Oncology,Employer Plan,2659,94,2565,4127246,3474573,2967702,385339,60328,88,31161,68864
2024-05-28,Oncology,Employer Plan,1692,171,1521,885621,848459,687518,151695,935684,82,34940,34367
2024-05-29,Orthopedics,Employer Plan,3119,241,2878,1041409,876309,676232,150759,2172868,148,106455,64167
2024-05-30,Orthopedics,Employer Plan,992,62,930,1457944,1385083,1237126,65754,2716088,151,44738,29814
2024-05-31,Oncology,Medicaid,3858,380,3478,694954,643133,577631,348362,1048877,131,64039,32917
2024-06-01,Radiology,Medicare,2952,384,2568,1998569,1692081,1450969,227468,1633329,63,39651,31295
2024-06-02,Radiology,Medicaid,2607,134,2473,2220993,1893622,1760755,50069,90992,86,61642,83602
2024-06-03,Pulmonology,Self-Pay,2622,282,2340,3765274,3342979,2614884,127155,2783756,145,140599,11601
2024-06-04,Neurology,Employer Plan,961,111,850,3709370,3406889,2569534,472600,2725515,65,80518,3633
2024-06-05,Emergency,Employer Plan,3532,512,3020,1108220,1023644,801919,209009,1563887,154,89491,56588
2024-06-06,Cardiology,Medicare,769,37,732,4098209,3400198,3332011,280200,2999221,152,26712,57921
2024-06-07,Orthopedics,Medicaid,3929,341,3588,2905757,2405731,2001623,488549,400736,54,86324,82132
2024-06-08,Radiology,Self-Pay,837,92,745,1669391,1613948,1409756,133877,1457469,82,58520,36385
2024-06-09,Oncology,Self-Pay,2817,74,2743,2350461,2242109,2151362,419444,87580,149,12722,16920
2024-06-10,Neurology,Employer Plan,1931,257,1674,2065223,1941055,1762526,400768,2986050,77,183872,56910
2024-06-11,Pulmonology,Medicaid,2235,143,2092,1335187,1214250,935361,498566,459070,22,99193,32166
2024-06-12,Emergency,Medicare,2784,300,2484,2520320,2298383,1967167,396597,2844226,70,71084,60037
2024-06-13,Pulmonology,Employer Plan,3084,223,2861,998356,861403,797171,469688,2982931,123,148571,22518
2024-06-14,Oncology,Self-Pay,2400,328,2072,2515435,2117455,1823808,248470,692081,148,126407,45337
2024-06-15,Oncology,Medicare,607,75,532,3415775,3107232,2404836,281297,1012381,78,25807,77602
2024-06-16,Cardiology,Medicare,1611,130,1481,1805170,1476496,1151833,82734,91259,65,196751,31305
2024-06-17,Pulmonology,Medicaid,517,74,443,1098168,905962,683761,34590,2354087,33,10073,82178
2024-06-18,Neurology,Medicare,2604,312,2292,3654008,3225613,2711122,457677,2790724,120,15049,61552
2024-06-19,Urology,Medicare,2205,168,2037,1389867,1165484,965457,359243,2155187,105,20482,57581
2024-06-20,Urology,Self-Pay,2358,319,2039,3030859,2528881,2160242,344505,2914819,38,147110,24425
2024-06-21,Neurology,Medicare,1663,147,1516,2298502,2089358,1965133,380640,1554713,92,111612,60716
2024-06-22,Neurology,Employer Plan,2967,275,2692,4046500,3476529,2617053,99979,1420880,74,98910,34437
2024-06-23,Pulmonology,Medicaid,2872,98,2774,2129831,1727875,1480295,36487,213785,42,15399,91649
2024-06-24,Urology,Medicare,2630,358,2272,896603,764394,741725,201879,1282263,174,48793,1147
